ARTIST,LABEL,MEDIA,GENRE,COMMENT,GENERAL INFO,CONDITION
100% PURE POISON,DRL,Singles: 7-inch,Soul,"B-side= ""Don't Let Your Dride."" {R&B}","201 ""Holes in My Shoes"" ",Very Good
10CC,MERCURY,Singles: 7-inch,Rock,"Mercury 73875. ""The Things We Do For Love"" and ""Hot To Trot.""", ,Very Good
1910 FRUITGUM CO.,BUDDAH,Singles: 7-inch,Rock,"Buddah 24. ""Simon Says"" and ""Reflections From The Looking Glass.""", ,Very Good
2 OF CLUBS,FRATERNITY,Singles: 7-inch,Rock,"B-side= ""So Blue Is Fall."" Girl group. Small sticker on one side of label.","975 ""Walk Tall"" ",Very Good +
3 FRIENDS,LIDO,Singles: 7-inch,Doo Wop,"B-side= ""Baby I'll Cry.""","500 ""Blanche"" Gray label. With wavy horizontal lines.",Very Good
4 SEASONS,VEE-JAY,Singles: 7-inch,Rock,"B-side= ""Connie-O.""","465 ""Big Girls Don't  Cry"" ",Near Mint
4 SEASONS,PHILIPS,Singles: 7-inch,Rock,"B-side= ""Something's On Her Mind."" Small cut-out hole.","40597 ""Idaho"" ",Very Good ++
4 SEASONS,PHILIPS,Singles: 7-inch,Rock,"Philips 40166. ""Dawn (Go Away)"" and ""No Surfin' Today.""","40166 ""Dawn"" ",Very Good +
4 SEASONS,VEE-JAY,Singles: 7-inch,Rock,"B-side= ""I've Cried Before.""","456 ""Sherry"" ",Near Mint
4 SEASONS,PHILIPS,Singles: 7-inch,Rock,"B-side= ""Silence Is Golden.""","40211 ""Rag Doll"" ",Very Good +
4 SEASONS,PHILIPS,Singles: 7-inch,Rock,"B-side= ""On Broadway Tonight.""","40317 ""Let's Hang On"" ",Very Good
4 SEASONS,VEE-JAY,Singles: 7-inch,Doo Wop,"DJ copy. X written on one side of label. B-side= ""Soon (I'll Be Home Again)."" {Belding Box}","512 ""Ain't That a  Shame"" ",Very Good
4 SEASONS,VEE-JAY,Singles: 7-inch,Rock,"B-side= ""Lucky Ladybug.""","485 ""Walk Like a Man"" ",Very Good
4 SEASONS,PHILIPS,Singles: 7-inch,Rock,"B-side= ""Sassy.""","40324 ""Don't Think Twice"" ",Very Good +
4 SEASONS,W.B.,Singles: 7-inch,Rock,"B-side= ""Who Loves You (Disco Version).""","8122 ""Who Loves You"" ",Very Good +
4 SEASONS,PHILIPS,Picture Sleeves,Rock,Follow the dot puzzle has been connected with ball point pen.,"40324 ""Wonder Who Is- The Wonder Who?"" ",Very Good +
4 SEASONS,VEE-JAY,Singles: 7-inch,Rock,"B-side= ""Marlena.""","539 ""Candy Girl"" ",Near Mint
4 SEASONS,PHILIPS,Picture Sleeves,Rock,Small cut-out hole.,"40597 ""Idaho"" ",Near Mint
5 COUNTS,CARON,Singles: 7-inch,Instrumental,"Stellar two-sided guitar instrumentals. B-side= ""Fantasy.""","6101 ""Bambino"" ",Near Mint
5 SHADOWS,FROSTY,Singles: 7-inch,Doo Wop,"B-side= ""My Love Bug."" Number written on both sides of label.","1 ""Blue Moon"" ",Very Good +
8TH DAY,INVICTUS,Singles: 7-inch,R&B,"Invictus 9087. ""She's Not Just Another Woman"" and ""I Can't Fool Myself."" With original Invictus sleeve.",9087 thru 9124 ,Very Good ++
