ARTIST,LABEL,MEDIA,GENRE,COMMENT,GENERAL INFO,CONDITION
"BARTON, Ernie",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""Raining The Blues."""," 3528 ""Stairway to  Nowhere""",Very Good
"GORDON, Roscoe",FLIP,Singles: 7-inch,Rockabilly,"B-side= ""Love For You Baby.""","237 ""The Chicken"" ",Very Good
"FEATHERS, Charlie",METEOR,Singles: 7-inch,Rockabilly,"Black label. B-side= ""Get With It.""","5032 ""Tongue Tied  Jill"" Black label.",Very Good
"McGINNIS, Wayne, & Swing Teens",METEOR,Singles: 7-inch,Rockabilly,"Very small label tear on both sides. B-side= ""Lonesome Rhythm Blues."" ","5035 ""Rock, Roll and  Rhythm"" ",Very Good
"JUSTIS, Bill",PHILLIPS INT,Singles: 7-inch,Instrumental,"B-side= ""The Midnite Man."""," 3519 ""Raunchy""",Near Mint
"JUSTIS, Bill",PHILLIPS INT,Singles: 7-inch,Instrumental,"B-side= ""The Stranger."""," 3522 College  Man""",Very Good
"JUSTIS, Bill",PHILLIPS INT,Singles: 7-inch,Instrumental,"B-side= ""Scroungie."""," 3525 ""Wild Rice""",Near Mint
"JUSTIS, Bill",PHILLIPS INT,Singles: 7-inch,Instrumental,"B-side= ""Cattywampus."""," 3529 ""Summer  Holiday""",Near Mint
"JUSTIS, Bill",PHILLIPS INT,Singles: 7-inch,Instrumental,"""Bop Train"" and ""String Of Pearls- Cha Hot Cha."""," 3535 ""Bop Train""",Near Mint
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""Foolish One."""," 3539 ""Mona Lisa""",Very Good
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""Foolish One."""," 3539 ""Mona Lisa""",Very Good +
"JUSTIS, Bill",PHILLIPS INT,Singles: 7-inch,Instrumental,"B-side= ""Cloud Nine."""," 3544 ""Flea  Circus""",Near Mint
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""I Can't Forget."""," 3550 ""Some Enchanted Evening""",Very Good ++
"RICH, Charlie",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""Everything I Do Is Wrong."""," 3552 ""Lonely  Weekends""",Very Good
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"""I'm Comin' Home"" and ""South Of The Border."" Label tear on one side. Plays great."," 3555 ""South of the  Border""",Good
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"""Wayward Wind"" and ""Born To Be Bad."" Some discoloration on vinyl, otherwise vg. Plays fine."," 3564 ""Wayward  Wind""",Good
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"""I Ain't Got No Home"" and ""If I Could Change You."" Writing on one side of label. Surface noise."," 3569 ""I Ain''t Got No  Home""",Very Good
"RICH, Charlie",PHILLIPS INT,Singles: 7-inch,Rockabilly,"""Easy Money"" and ""Midnite Blues."""," 3576 ""Easy   Money""",Very Good
"FROST, Frank",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""Crawlback."""," 3578 ""Jelly Roll  King""",Very Good
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""When I Grow Too Old To Dream."""," 3579 ""Mountain  Dew""",Very Good ++
"MACK, Bill",STARDAY,Singles: 7-inch,Rockabilly,"","231 ""Kitty Kat""/""Fat   Woman"" ",Very Good
"GRAYZELL, Rudy",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""You're Gone.""","241 ""Duck Tail"" ",Near Mint
"DAVIS, Link",STARDAY,Singles: 7-inch,Rockabilly,"","242 ""Sixteen Chicks""/  ""Grasshopper Rock"" ",Very Good
"JONES, George",STARDAY,Singles: 7-inch,Rockabilly,"Starday 264. ""Just One More"" and ""Gonna Come Get You.""",100 & 200 series Black vinyl.,Very Good
"PAYNE, Leon",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""Sweet Sweet Love."" Writing on both sides of label.","267 ""A Prisoner's  Diary"" ",Very Good
"MACK, Bill",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""That's Why I Cry.""","280 ""It's Saturday  Night"" ",Very Good +
"DUFF, Arlie",STARDAY,Singles: 7-inch,Rockabilly,"Starday 302. ""What A Way To Die"" and ""You've Done It Again."" Light water damage to both sides of label. ",132 thru 302 ,Very Good
"BLAKLEY, Cliff",STARDAY,Singles: 7-inch,Rockabilly,Writing on both sides of label.,"352 ""Want to Be with You""/""High Steppin' "" ",Very Good
"MILLER, Frankie",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""True Blue."" With original Starday sleeve.","424 ""Black Land  Farmer"" ",Near Mint
"MAPHIS, Joe",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""Lonesome Jailhouse Blues."" Writing on one side of label.","683 ""Hot Rod Guitar"" ",Very Good +
"WALKER, Lou",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""Cause I'm Losing You.""","701 ""Little Bitty Man"" ",Near Mint
"THOMAS, Rufus",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Walking In The Rain."" With original Sun sleeve.","181 ""Bear Cat"" Without subtitle.",Near Mint
LITTLE JUNIOR'S BLUE FLAMES,SUN,Singles: 7-inch,Rockabilly,"B-side= ""Fussin' And Fightin' Blues."" Label wear on both sides. Pretty rough. Plays through using a light tonearm, but skips several times on A-side, but no skips on the B-side. . Listen to the sample! Rare find even in this condition.","187 ""Feelin' Good"" ",Good
LITTLE JUNIOR'S BLUE FLAMES,SUN,Singles: 7-inch,Rockabilly,"B-side= ""Love My Baby."" With original Sun sleeve.","192 ""Mystery Train"" ",Near Mint
"PRESLEY, Elvis",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Blue Moon Of Kentucky."" With original Sun sleeve.","209 ""That's All Right"" ",Very Good
"PRESLEY, Elvis",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Don't Care If The Sun Don't Shine."" With original Sun sleeve.","210 ""Good Rockin'  Tonight"" ",Very Good
"YELVINGTON, Malcolm",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Just Rolling Along."" With original Sun sleeve.","211 ""Drinkin' Wine Spo-Dee-O-  Dee"" Counterfeits exist of this release.",Mint
"EMERSON, Billy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Move Baby Move.""","214 ""When It Rains It  Pours"" ",Mint
"PRESLEY, Elvis",SUN,Singles: 7-inch,Rockabilly,"B-side= ""You're A Heartbreaker."" With original Sun sleeve. Tape on both sides.","215 ""Milkcow Blue  Boogie"" ",Very Good
"PRESLEY, Elvis",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I'm Left, You're Right, She's Gone."" With original Sun sleeve. ""Elvis"" signed in green ink on both sides. Authenticity unverified.","217 ""Baby Let's Play  House"" ",Very Good
"EMERSON, Billy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""No Greater Love.""","219 ""Red Hot"" ",Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Hey, Porter!""","221 ""Cry! Cry! Cry!"" ",Near Mint
"PRESLEY, Elvis",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Forgot To Remember To Forget."" With original Sun sleeve. Writing on one side of label.","223 ""Mystery Train"" ",Very Good
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"Very small label stain. B-side= ""Let The Juke Box Keep On Playing.""","224 ""Gone Gone Gone"" ",Very Good ++
"RHODES, Slim",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Are You Ashamed Of Me."" X on one side of label.","225 ""The House of Sin"" ",Very Good
"WIMBERLY, Maggie Sue",SUN,Singles: 7-inch,Rockabilly,"B-side= ""How Long.""","229 ""Daydreams Come  True"" ",Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""So Doggone Lonesome.""","232 ""Folsom Prison Blues"" ",Very Good +
"EMERSON, Billy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Something For Nothing.""","233 ""Little Fine Healthy  Thing"" ",Near Mint
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Honey Don't!"" Small sticker on one side of label.","234 ""Blue Suede Shoes"" ",Very Good +
"SMITH, Warren",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I'd Rather Be Safe Than Sorry."" With original Sun sleeve. ","239 ""Rock 'M' Roll Ruby"" With slight title misprint.",Near Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Get Rhythm.""","241 ""I Walk the Line"" ",Very Good ++
"ORBISON, Roy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Go! Go! Go!"" Small sticker on one side of label.","242 ""Ooby Dooby"" ",Very Good +
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""All Mama's Children."" Small sticker on one side of label.","243 ""Boppin' the Blues"" ",Very Good ++
"CHAPEL, Jean",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Welcome To The Club.""","244 ""I Won't Be Rockin'  Tonight"" First issue.",Mint
"RILEY, Billy Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Trouble Bound.""","245 ""Rock with Me Baby"" ",Mint
"YELVINGTON, Malcolm",SUN,Singles: 7-inch,Rockabilly,"B-side= ""It's Me Baby.""","246 ""Rockin' with My  Baby"" ",Very Good ++
"BURGESS, Sonny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Red Headed Woman.""","247 ""We Wanna Boogie"" ",Mint
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I'm Sorry, I'm Not Sorry."" ","249 ""Dixie Fried"" ",Very Good +
"SMITH, Warren",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Black Jack David."" Black mark on one side of label.","250 ""Ubangi Stomp"" ",Very Good
"ORBISON, Roy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""You're My Baby."" ","251 ""Rockhouse"" ",Very Good +
"HARRIS, Ray",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Where'd You Stay Last Nite.""","254 ""Come On Little  Mama"" ",Mint
"RHODES, Slim",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Take And Give.""","256 ""Do What I Do"" ",Near Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Train Of Love.""","258 ""There You Go"" ",Near Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""End Of The Road.""","259 ""Crazy Arms"" ",Near Mint
"RILEY, Billy Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Want You Baby.""","260 ""Flyin' Saucers Rock &  Roll"" Counterfeits exist of this release.",Near Mint
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Matchbox."" With small sticker on one side of label.","261 ""Your True Love"" ",Very Good +
"ORBISON, Roy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Devil Doll.""","265 ""Sweet and Easy to  Love"" ",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Don't Make Me Go."" With small sticker on one side of label.","266 ""Next in Line"" ",Very Good ++
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""It'll Be Me."" With small sticker on one side of label.","267 ""Whole Lot of Shakin' Going  On"" ",Very Good +
"SMITH, Warren",SUN,Singles: 7-inch,Rockabilly,"B-side= ""So Long, I'm Gone."" Writing in pencil on both sides of label.","268 ""Miss Froggie"" ",Very Good ++
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""That's Right."" Writing in pencil on both sides of label and several numbers in ink.","274 ""Forever Yours"" ",Very Good ++
"CHAFFIN, Ernie",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Laughin' And Jokin'.""","275 ""I'm Lonesome"" ",Near Mint
"BRUCE, Ed",SUN,Singles: 7-inch,Rockabilly,"B-side= ""More Than Yesterday.""","276 ""Rock Boppin' Baby"" ",Mint
"RILEY, Billy Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Pearly Lee.""","277 ""Red Hot"" ",Very Good
"BLAKE, Tommy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Lordy Hoody."" With original Sun sleeve. About as frantic as it gets!","278 ""Flat Foot Sam"" ",Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Give My Love To Rose.""","279 ""Home of the Blues"" ",Near Mint
"LEE, Dickey",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Memories Never Grow Old.""","280 ""Good Lovin' "" ",Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""You Win Again.""","281 ""Great Balls of Fire"" ",Very Good ++
"LEWIS, Jerry Lee",SUN,Picture Sleeves,Rockabilly,"","281 ""Great Balls of Fire"" ",Near Mint
"PENNER, Dick",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Cindy Lou."" With original Sun sleeve. ","282 ""Your Honey Love"" ",Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Big River.""","283 ""Ballad of a Teenage  Queen"" ",Very Good ++
"ORBISON, Roy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Chicken-Hearted.""","284 ""I Like Love"" ",Very Good ++
"BURGESS, Sonny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Sweet Misery."" Check mark on each side of label.","285 ""My Bucket's Got a Hole in  It"" ",Very Good
"SMITH, Warren",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Fell In Love."" With original Sun sleeve.","286 ""I've Got Love If You Want  It"" ",Near Mint
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Lend Me Your Comb."" Label wear.","287 ""Glad All Over"" ",Very Good
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Down The Line"" written by Roy Orbison.","288 ""Breathless"" ",Near Mint
"RILEY, Billy Lee",SUN,Singles: 7-inch,Rockabilly,"Autographed by Billy Lee Riley. With original Sun sleeve. B-side= ""Baby Please Don't Go.""","289 ""Wouldn't You Know"" ",Near Mint
"GRAYZELL, Rudy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Think Of You.""","290 ""Judy"" ",Mint
"CLEMENT, Jack",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Your Lover Boy.""","291 ""Ten Years"" ",Near Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Come In Stranger."" Small sticker on one side of label.","295 ""Guess Things Happen That  Way"" ",Near Mint
"CASH, Johnny",SUN,Picture Sleeves,Rockabilly,"","295 ""Guess Things Happen That  Way"" ",Very Good +
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Fools Like Me."" ","296 ""High School  Confidential"" ",Very Good +
"LEWIS, Jerry Lee",SUN,Picture Sleeves,Rockabilly,"","296 ""High School  Confidential"" Pictures Lewis along with film stars Russ Tamblyn, Jan Sterling, John Drew Barrymore, Mamie Van Doren, and Diane Jergens.",Near Mint
"SMITH, Ray",SUN,Singles: 7-inch,Rockabilly,"B-side= ""So Young.""","298 ""Right Behind You Baby"" ",Near Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""You're The Nearest Thing To Heaven.""","302 ""The Ways of a Woman in  Love"" ",Very Good +
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I'll Make It All Up To You."" Small sticker on label.","303 ""Break-Up"" Black vinyl.",Near Mint
"GORDON, Roscoe",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Torro.""","305 ""Sally Jo"" ",Very Good ++
"SMITH, Ray",SUN,Singles: 7-inch,Rockabilly,With original Sun sleeve.,"308 ""Why, Why, Why""/""You Made a  Hit"" Some copies mistakenly have Sorry I Lied by Cliff Thomas on the B-side.",Near Mint
